station,location,date,time,Latitude,Longitude,ch_in_lab,ch_in_situ
Station P1,Romaine,2013-04-01,00:00:00,50.28000434,-63.86545803,No_values,0.6776869297027588
Station P1,Romaine,2013-04-01,00:20:00,50.28000434,-63.86545803,No_values,0.4180490970611572
Station P1,Romaine,2013-04-01,00:40:00,50.28000434,-63.86545803,No_values,0.654226541519165
Station P1,Romaine,2013-04-01,01:00:00,50.28000434,-63.86545803,No_values,0.6033718585968018
Station P1,Romaine,2013-04-01,01:20:00,50.28000434,-63.86545803,No_values,0.6115972995758057
Station P1,Romaine,2013-04-01,01:40:00,50.28000434,-63.86545803,No_values,0.6674587726593018
Station P1,Romaine,2013-04-01,02:00:00,50.28000434,-63.86545803,No_values,0.5852043628692627
Station P1,Romaine,2013-04-01,02:20:00,50.28000434,-63.86545803,No_values,0.5745470523834229
Station P1,Romaine,2013-04-01,02:40:00,50.28000434,-63.86545803,No_values,0.657731294631958
Station P1,Romaine,2013-04-01,03:00:00,50.28000434,-63.86545803,No_values,0.5050957202911377
Station P1,Romaine,2013-04-01,03:20:00,50.28000434,-63.86545803,No_values,0.5110323429107666
Station P1,Romaine,2013-04-01,03:40:00,50.28000434,-63.86545803,No_values,0.6471455097198486
Station P1,Romaine,2013-04-01,04:00:00,50.28000434,-63.86545803,No_values,0.4490196704864502
Station P1,Romaine,2013-04-01,04:20:00,50.28000434,-63.86545803,No_values,0.653153657913208
Station P1,Romaine,2013-04-01,04:40:00,50.28000434,-63.86545803,No_values,0.4043161869049072
Station P1,Romaine,2013-04-01,05:00:00,50.28000434,-63.86545803,No_values,0.5178987979888916
Station P1,Romaine,2013-04-01,05:20:00,50.28000434,-63.86545803,No_values,0.42920708656311035
Station P1,Romaine,2013-04-01,05:40:00,50.28000434,-63.86545803,No_values,0.5706846714019775
Station P1,Romaine,2013-04-01,06:00:00,50.28000434,-63.86545803,No_values,0.5400717258453369
Station P1,Romaine,2013-04-01,06:20:00,50.28000434,-63.86545803,No_values,0.6310522556304932
Station P1,Romaine,2013-04-01,06:40:00,50.28000434,-63.86545803,No_values,1.0769426822662354
Station P1,Romaine,2013-04-01,07:00:00,50.28000434,-63.86545803,No_values,0.6183207035064697
Station P1,Romaine,2013-04-01,07:20:00,50.28000434,-63.86545803,No_values,0.8856117725372314
Station P1,Romaine,2013-04-01,07:40:00,50.28000434,-63.86545803,No_values,0.5126059055328369
Station P1,Romaine,2013-04-01,08:00:00,50.28000434,-63.86545803,No_values,0.5725443363189697
Station P1,Romaine,2013-04-01,08:20:00,50.28000434,-63.86545803,No_values,0.6793320178985596
Station P1,Romaine,2013-04-01,08:40:00,50.28000434,-63.86545803,No_values,0.8036434650421143
Station P1,Romaine,2013-04-02,00:00:00,50.28000434,-63.86545803,No_values,0.7432043552398682
Station P1,Romaine,2013-04-02,00:20:00,50.28000434,-63.86545803,No_values,0.5763351917266846
Station P1,Romaine,2013-04-02,00:40:00,50.28000434,-63.86545803,No_values,0.543433427810669
Station P1,Romaine,2013-04-02,01:00:00,50.28000434,-63.86545803,No_values,0.5986511707305908
Station P1,Romaine,2013-04-02,01:20:00,50.28000434,-63.86545803,No_values,0.5516588687896729
Station P1,Romaine,2013-04-02,01:40:00,50.28000434,-63.86545803,No_values,0.5585968494415283
Station P1,Romaine,2013-04-02,02:00:00,50.28000434,-63.86545803,No_values,0.5711138248443604
Station P1,Romaine,2013-04-02,02:20:00,50.28000434,-63.86545803,No_values,0.5189716815948486
Station P1,Romaine,2013-04-02,02:40:00,50.28000434,-63.86545803,No_values,0.5240499973297119
Station P1,Romaine,2013-04-02,03:00:00,50.28000434,-63.86545803,No_values,0.5787670612335205
Station P1,Romaine,2013-04-02,03:20:00,50.28000434,-63.86545803,No_values,0.5424320697784424
Station P1,Romaine,2013-04-02,03:40:00,50.28000434,-63.86545803,No_values,0.509101152420044
Station P1,Romaine,2013-04-02,04:00:00,50.28000434,-63.86545803,No_values,0.452953577041626
